Имя	ИД процесса	Описание	Состояние	Группа
AarSvc_51989		Agent Activation Runtime_51989	Остановлено	AarSvcGroup
AarSvc_c4839		Agent Activation Runtime_c4839	Остановлено	AarSvcGroup
ADPSvc		Служба платформы агрегированных данных	Остановлено	LocalServiceAndNoImpersonation
ALG		Служба шлюза уровня приложения	Остановлено	
AMD Crash Defender Service		AMD Crash Defender Service	Остановлено	
AMD External Events Utility		AMD External Events Utility	Остановлено	
AppIDSvc		Удостоверение приложения	Остановлено	LocalServiceNetworkRestricted
Appinfo	3696	Сведения о приложении	Выполняется	netsvcs
AppMgmt		Управление приложениями	Остановлено	netsvcs
AppReadiness		Готовность приложений	Остановлено	AppReadiness
AppVClient		Microsoft App-V Client	Остановлено	
AppXSvc		Служба развертывания AppX (AppXSVC)	Остановлено	wsappx
ApxSvc		Прокси-служба виртуального звукового устройства Windows	Остановлено	LocalService
AssignedAccessManagerSvc		Служба AssignedAccessManager	Остановлено	AssignedAccessManagerSvc
AudioEndpointBuilder	1684	Средство построения конечных точек Windows Audio	Выполняется	LocalSystemNetworkRestricted
Audiosrv	1820	Windows Audio	Выполняется	LocalServiceNetworkRestricted
autotimesvc		Время в сети мобильной связи	Остановлено	autoTimeSvc
AxInstSV		Установщик ActiveX (AxInstSV)	Остановлено	AxInstSVGroup
BcastDVRUserService_51989		Пользовательская служба DVR для игр и трансляции_51989	Остановлено	BcastDVRUserService
BcastDVRUserService_c4839		Пользовательская служба DVR для игр и трансляции_c4839	Остановлено	BcastDVRUserService
BDESVC		Служба шифрования дисков BitLocker	Остановлено	netsvcs
BFE	2244	Служба базовой фильтрации	Выполняется	LocalServiceNoNetworkFirewall
BITS		Фоновая интеллектуальная служба передачи (BITS)	Остановлено	netsvcs
BluetoothUserService_51989		Служба поддержки пользователей Bluetooth_51989	Остановлено	BthAppGroup
BluetoothUserService_c4839		Служба поддержки пользователей Bluetooth_c4839	Остановлено	BthAppGroup
brlapi		brlapi	Остановлено	
BrokerInfrastructure	1268	Служба инфраструктуры фоновых задач	Выполняется	DcomLaunch
BTAGService		Служба звукового шлюза Bluetooth	Остановлено	LocalServiceNetworkRestricted
BthAvctpSvc		Служба AVCTP	Остановлено	LocalServiceRedirectionGuard
bthserv		Служба поддержки Bluetooth	Остановлено	LocalService
camsvc		Служба диспетчера доступа к возможностям	Остановлено	osprivacy
CaptureService_51989		CaptureService_51989	Остановлено	LocalService
CaptureService_c4839		CaptureService_c4839	Остановлено	LocalService
cbdhsvc_51989	3788	Пользовательская служба буфера обмена_51989	Выполняется	ClipboardSvcGroup
cbdhsvc_c4839	6576	Пользовательская служба буфера обмена_c4839	Выполняется	ClipboardSvcGroup
CDPSvc		Служба платформы подключенных устройств	Остановлено	LocalService
CDPUserSvc_51989		Служба пользователя платформы подключенных устройств_51989	Остановлено	UnistackSvcGroup
CDPUserSvc_c4839		Служба пользователя платформы подключенных устройств_c4839	Остановлено	UnistackSvcGroup
CertPropSvc		Распространение сертификата	Остановлено	netsvcs
ClipSVC		Служба лицензий клиента (ClipSVC)	Остановлено	wsappx
CloudBackupRestoreSvc_51989		Облачная служба резервного копирования и восстановления_51989	Остановлено	UnistackSvcGroup
CloudBackupRestoreSvc_c4839		Облачная служба резервного копирования и восстановления_c4839	Остановлено	UnistackSvcGroup
cloudidsvc		Служба идентификации облачных удостоверений (Майкрософт)	Остановлено	CloudIdServiceGroup
COMSysApp		Системное приложение COM+	Остановлено	
ConsentUxUserSvc_51989		Служба пользователя ConsentUX_51989	Остановлено	DevicesFlow
ConsentUxUserSvc_c4839		Служба пользователя ConsentUX_c4839	Остановлено	DevicesFlow
CoreMessagingRegistrar	1812	CoreMessaging	Выполняется	LocalServiceNoNetwork
CredentialEnrollmentManagerUserSvc_51989		CredentialEnrollmentManagerUserSvc_51989	Остановлено	
